                                    | Codé | Validé |
Josias : erreurs : 1 - 30           |  OK  |   OK   |
    HTTP-message                    |  OK  |   OK   |
    ALPHA                           |  OK  |   OK   |
    alphanum                        |  OK  |   OK   |
    DIGIT                           |  OK  |   OK   |
    comment                         |  OK  |   OK   |
    ctext                           |  OK  |   OK   |
    quoted-pair                     |  OK  |   OK   |
    connection-option               |  OK  |   OK   |
    token                           |  OK  |   OK   |
    codings                         |  OK  |   OK   |
    content-coding                  |  OK  |   OK   |
    cookie-octet                    |  OK  |   OK   |
    cookie-pair                     |  OK  |   OK   |
    cookie-name                     |  OK  |   OK   |
    cookie-value                    |  OK  |   OK   |
    CRLF                            |  OK  |   OK   |
    HTAB                            |  OK  |   OK   |
    SP                              |  OK  |   OK   |
    obs-text                        |  OK  |   OK   |
    dec-octet                       |  OK  |   OK   |
    field-vchar                     |  OK  |   OK   |
    VCHAR                           |  OK  |   OK   |
    h16                             |  OK  |   OK   |
    HEXDIG                          |  OK  |   OK   |

Nathan : erreurs : 31 - 60          |  OK  |   OK   |
    language-range                  |  OK  |   OK   |
    ls32                            |  OK  |   OK   |
    OWS                             |  OK  |   OK   |
    BWS                             |  OK  |   OK   |
    parameter                       |  OK  |   OK   |
    quoted-string                   |  OK  |   OK   |
    pchar                           |  OK  |   OK   |
    unreserved                      |  OK  |   OK   |
    pct-encoded                     |  OK  |   OK   |
    sub-delims                      |  OK  |   OK   |
    product                         |  OK  |   OK   |
    product-version                 |  OK  |   OK   |
    qdtext                          |  OK  |   OK   |
    query                           |  OK  |   OK   |
    qvalue                          |  OK  |   OK   |
    RWS                             |  OK  |   OK   |
    segment                         |  OK  |   OK   |
    tchar                           |  OK  |   OK   |
    transfert-coding                |  OK  |   OK   |
    transfert-extension             |  OK  |   OK   |
    transfert-parameter             |  OK  |   OK   |
    weight                          |  OK  |   OK   |

Hugo : erreurs : 61 - 90            |  OK  |   OK   |
    start-line                      |  OK  |   OK   |
    request-line                    |  OK  |   OK   |
    method                          |  OK  |   OK   |
    request-target                  |  OK  |   OK   |
    origin-form                     |  OK  |   OK   |
    absolute-path                   |  OK  |   OK   |
    HTTP-version                    |  OK  |   OK   |
    HTTP-name                       |  OK  |   OK   |
    header-field                    |  OK  |   OK   |
    field-name                      |  OK  |   OK   |
    field-value                     |  OK  |   OK   |
    field-content                   |  OK  |   OK   |
    obs-fold                        |  OK  |   OK   |
    Connection-header               |  OK  |   OK   |
    Connection                      |  OK  |   OK   |
    Content-Length-header           |  OK  |   OK   |
    Content-Length                  |  OK  |   OK   |
    Content-Type-header             |  OK  |   OK   |
    Content-Type                    |  OK  |   OK   |
    media-type                      |  OK  |   OK   |
    type                            |  OK  |   OK   |
    subtype                         |  OK  |   OK   |
    Cookie-header                   |  OK  |   OK   |
    cookie-string                   |  OK  |   OK   |

Mathis : erreurs : 91 - 150         |  OK  |   OK   |
    Transfer-Encoding-header        |  OK  |   OK   |
    Transfert-Encoding              |  OK  |   OK   |
    Expect-header                   |  OK  |   OK   |
    Expect                          |  OK  |   OK   |
    Host-header                     |  OK  |   OK   |
    Host                            |  OK  |   OK   |
    uri-host                        |  OK  |   OK   |
    host                            |  OK  |   OK   |
    IP-literal                      |  OK  |   OK   |
    IPv4address                     |  OK  |   OK   |
    IPv6address                     |  OK  |   OK   |
    IPvFuture                       |  OK  |   OK   |
    reg-name                        |  OK  |   OK   |
    port                            |  OK  |   OK   |
    User-Agent-header               |  OK  |   OK   |
    User-Agent                      |  OK  |   OK   |
    Accept-Language-header          |  OK  |   OK   |
    Accept-Language                 |  OK  |   OK   |
    Accept-header                   |  OK  |   OK   |
    Accept                          |  OK  |   OK   |
    media-range                     |  OK  |   OK   |
    accept-params                   |  OK  |   OK   |
    accept-ext                      |  OK  |   OK   |
    Accept-Encoding-header          |  OK  |   OK   |
    Accept-Encoding                 |  OK  |   OK   |
    message-body                    |  OK  |   OK   |
    OCTET                           |  OK  |   OK   |
    DQUOTE                          |  OK  |   OK   |
